초기 홀더 목록:

0: 0xFAb9F552EFd52c275A9B5c4dA84d2953FBB191cF (DevH)
1: 0x58a23Dc1E076eBE2cBb926F5FdFEf10B3A6eBDF1 (Taco)
2: 0xD1b1a726169ABb13a8638CE5A1A800424778B430 (LuckyDouble)
3: 0xC876f6D5667b9D361475FA081896fD3939867fd7 (Uglynos)
4: 0xd038d98C9f52bd6DE00B3A9d8f2Cf3bf9125F1d6 (Taco)
5: 0xaED11f835364Bd45C7b16587DB77831C33DFeb18 (토끼굴)
6: 0x38BD85aD7ebBEEA7fc891F77cb0166D849eE1BcC (xeonsim)
7: 0x38BD85aD7ebBEEA7fc891F77cb0166D849eE1BcC (xeonsim)
8: 0x71d5cae2d71bfb626aedd564e4e62323479b7c12 (edoi)
9: 0x33593218bcB90D705dB169644C5048bE5A916a57 (haeri)
10: 0x0B9bEc6928cB3256F75e7F32bE1D1679670a4578 (ron)
